,sentence
2861,5  Purchased 7  Issued 10  Purchased 12  Issued 15  Purchased 17  Issued 18  Issued 25  Purchased 29 Issued  500 units at Rs.
2862,24.50 each.
2863,750  units.
2864,"1,500 units at Rs."
2865,24 each.
2866,"1,100  units."
2867,"1,000 units at Rs."
2868,25 each.
2869,500  units.
2870,300  units.
2871,"1,500 units at Rs."
2872,26 each.
2873,"1,500 units."
2874,Adopt the FIFO and LIFO method of issue and ascertain the value of the closing stock.
2875,CASH  MANAGEMENT Business concern needs cash to make payments for acquisition of resources and services for  the  normal  conduct  of  business.
2876,Cash  is  one  of  the  important  and  key  parts  of  the current assets.
2877,Cash  is  the  money  which  a  business  concern  can  disburse  immediately  without  any restriction.
2878,"The term cash includes coins, currency, cheques held by the business concern and balance in its bank accounts."
2879,"Management of cash consists of cash inflow and outflows, cash flow within the concern and cash balance held by the concern etc."
2880,Motives for Holding Cash  1.
2881,Transaction  motive  It  is  a  motive  for  holding  cash  or  near  cash  to  meet  routine  cash  requirements to finance transaction in the normal course of business.
2882,"Cash is needed to make purchases  of  raw  materials,  pay  expenses,  taxes,  dividends  etc."
2883,2.
2884,Precautionary  motive  It is the motive for holding cash or near cash as a cushion to meet unexpected contingencies.
2885,"Cash  is  needed  to  meet  the  unexpected  situation  like,  floods strikes  etc."
2886,(A) First in First out Method FIFO Method  Receipts Rate Rs.
2887,P.  Qty.
2888,Units  Amount  Rs.
2889,Qty.
2890,Units  Rate Rs.
2891,P.  Amount  Rs.
2892,Qty.
2893,Units  Issues  Balance Rate Rs.
2894,P.  Amount  Rs.
2895,"Particulars  Or  Reference  1,000 1,000 500 250 500 250 500 1,500  26.00 26.00 24.50 26.00 24.50 26.00 24.50 24.00  26,000 26,000 12,250   6,500 12,250   6,500 12,250 36,000  1,150  24.00   27,600  1,150 1,000 650 1,000 350 1,000 350 1,000 1,500  24.00 25.00 24.00 25.00 24.00 25.00 24.00 25.00  26  27,600 25,000 15,600 25,000 8,400 25,000 8,400 25,000 39,000  1,350  26.00  35,100  750  26.00  19,500  26.00 24.50 24.00  6,500 12,250 8,400  24.00  12,000  24.00  7,200  24.00 25.00 26.00  8,400 25,000 3,900  250 500 350 1,100  500  300  350 1,000 150 1,500  1 7 4  a n  Fin cial  M a n a g e m e n t  Date  1998 Jan. 1  5  7  10  12 15  17  18  25  Balance B/d G.R.N."
2896,No.
2897,M.R.
2898,No.
2899,"500  24.50  12,250  G.R.N."
2900,No.
2901,"1,500  24.00  36,000  1,000  25.00  25,000  M.R."
2902,No.
2903,G.R.N No.
2904,M.R No.
2905,M.R.
2906,No.
2907,G.R.N.
2908,No.
2909,"1,500  26.00  39,000  29  M.R."
2910,"No  Closing stock 1,350 units at Rs."
2911,26 each = Rs.
2912,"35,100 Note  :  G.R.N."
2913,No.
2914,= Goods Received Note Number.
2915,M.R.
2916,No.
2917,= Material Requisition Number.
2918,(B) Last in first out method (LIFO)  Receipts Rate Rs.
2919,P.  Qty.
2920,Units  Amount  Rs.
2921,Qty.
2922,Units  Rate Rs.
2923,P.  Amount  Rs.
2924,Qty.
2925,Units  Issues  Balance Rate Rs.
2926,P.  Amount  Rs.
2927,"Particulars  Or  Reference  750  26.00  19,500  250 500 350 1,100  500  300  26.00 24.50 24.00  6,500 12,250 8,400  24.00  12,000  24.00  7,200  1,000 1,000 500 250 500  250 500 1,500  26.00 26.00 24.50 26.00 24.50  26.00 24.50 24.00  26,000 26,000 12,250   6,500 12,250    6,500 12,250 36,000  1,150  24.00   27,600  1,150 1,000 650 1,000 350 1,000 350 1,000 1,500 750 400 200  24.00 25.00 24.00 25.00 24.00 25.00 24.00 25.00 26.00 26.00 24.00 25.00  27,600 25,000 15,600 25,000 8,400 25,000 8,400 25,000 39,000 19,500 9,600 5,000  W o r kin g   C a pit al  M a n a g e m e n t  1 7 5  Date  1998 Jan. 1  5  7  12 15  17  18  25  29  Balance B/d G.R.N."
2928,No.
2929,M.R.
2930,No.
2931,"500  24.50  12,250   10  G.R.N."
2932,"No  1,500  24.00  36,000  1,000  25.00  25,000  M.R."
2933,No G.R.N.
2934,No  M.R.
2935,No.
2936,M.R.
2937,No.
2938,G.R.N.
2939,No.
2940,"1,500  26.00  39,000  M.R."
2941,No.
2942,"1,500  26.00  39,000  Closing  Stock  =  1,350  units,  valued  at  Rs."
2943,"34,100  (750  26+400  24+200  25)  Note : G.R.N."
2944,No.
2945,= Goods Received Note Number; M.R.
2946,No.
2947,= Material Requisition Number.
2948,176  3.
2949,Speculative  motive  Financial Management  It  is  the  motive  for  holding  cash  to  quickly  take  advantage  of  opportunities typically outside the normal course of business.
2950,Certain amount of cash is needed to  meet  an  opportunity  to  purchase  raw  materials  at  a  reduced  price  or  make purchase  at  favorable  prices.
2951,4.
2952,Compensating  motive  It is a motive for holding cash to compensate banks for providing certain services or  loans.
2953,"Banks  provide  variety  of  services  to  the  business  concern,  such  as clearance  of  cheque,  transfer  of  funds  etc."
2954,Cash Management Techniques Managing cash flow constitutes two important parts:  A.
2955,Speedy  Cash  Collections.
2956,B.
2957,Slowing  Disbursements.
2958,Speedy Cash Collections Business concern must concentrate in the field of Speedy Cash Collections from customers.
2959,"For that, the concern prepares systematic plan and refined techniques."
2960,"These techniques aim  at,  the  customer    who  should  be  encouraged  to  pay  as  quickly  as  possible  and  the payment  from  customer  without  delay."
2961,"Speedy  Cash  Collection  business  concern  applies some of the important techniques as follows:  Prompt Payment by Customers  Business  concern  should  encourage  the  customer  to  pay  promptly  with  the  help  of offering discounts, special offer etc."
2962,It helps to reduce the delaying payment of customers and the firm can avoid delays from the customers.
2963,"The firms may use some of the techniques for prompt payments like billing devices, self address cover with stamp etc."
2964,Early Conversion of Payments into Cash  Business  concern  should  take  careful  action  regarding  the  quick  conversion  of  the payment into cash.
2965,"For this purpose, the firms may use some of the techniques like postal float, processing float, bank float and deposit float."
2966,"Concentration Banking  It is a collection procedure in which payments are made to regionally dispersed collection centers,  and  deposited  in  local  banks  for  quick  clearing."
2967,It  is  a  system  of  decentralized billing and multiple collection points.
2968,Lock Box System  It is a collection procedure in which payers send their payment or cheques to a nearby post box that is cleared by the firm   s bank.
2969,Several times that the bank deposit the cheque  Working Capital Management  177  in the firms account.
2970,"Under the lock box system, business concerns hire a post office lock box at important collection centers where the customers remit payments."
2971,The local banks are authorized to open the box and pick up the remittances received from the customers.
